system:index,aspect,days,elevation,evimax,evimean,evimedian,evimin,evisum,labels,lstmax,lstmean,lstmedian,lstmin,lstsum,ndvimax,ndvimean,ndvimedian,ndvimin,ndvisum,ndwimax,ndwimean,ndwimedian,ndwimin,ndwisum,precmax,precmean,precmedian,precmin,precsum,slope,time,.geo
1_1_1_1_000000000000000000a1_0_0,325.15463,15,234,0.523129518179552,0.4506582207690779,0.4335991678224688,0.4059238480260715,2.2532911038453896,1,31.630000000000052,30.510000000000034,30.430000000000035,29.55000000000001,122.04000000000013,0.7346881,0.69186836,0.7048944,0.60630304,3.4593417584844017,0.05131714,0.006163898,-0.0045948206,-0.030152224,0.030819489620625973,0.0,0.0,0.0,0.0,0.0,13.2495365,20151020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.30063945599169,24.49930358614965]}"
1_1_1_1_0000000000000000027a_0_0,261.51547,14,200,0.547247128047072,0.4446787018299009,0.41912425295886874,0.4016261439962292,2.2233935091495045,1,31.05000000000001,28.702000000000034,28.450000000000045,27.05000000000001,143.51000000000016,0.7997169,0.76359403,0.76200926,0.73376393,3.8179701128155203,0.06361435,0.010978786,0.0036764706,-0.028314782,0.05489393067546189,0.0,0.0,0.0,0.0,0.0,2.3560233,20151020,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.30637952524634,23.088948590082]}"
1_1_1_1_000000000000000001db_0_0,56.892975,8,494,0.5748886414253896,0.5748886414253896,0.5748886414253896,0.5748886414253896,0.5748886414253896,1,28.670000000000016,28.670000000000016,28.670000000000016,28.670000000000016,28.670000000000016,0.7687296,0.7687296,0.7687296,0.7687296,0.768729641693811,-0.0065342393,-0.0065342393,-0.0065342393,-0.0065342393,-0.006534239277243614,0.0,0.0,0.0,0.0,0.0,13.639291,20150806,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.95066954414428,23.668361948339093]}"
1_1_1_1_000000000000000002bb_0_0,47.334267,6,171,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,1,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0.0,0.0,0.0,0.0,0.0,0.9407907,20150806,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.29165630315049,22.82843715768734]}"
1_1_1_1_0000000000000000024c_0_0,215.96274,3,199,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,1,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0.0,0.0,0.0,0.0,0.0,4.0753846,20151023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.04050107255622,23.24166218838232]}"
1_1_1_1_0000000000000000032c_0_0,72.80673,17,176,0.571531395667672,0.48775280001891724,0.5001805054151625,0.39522979338996256,3.4142696001324206,1,31.350000000000023,30.343333333333362,29.950000000000045,29.730000000000018,91.03000000000009,0.76021945,0.7224319,0.7406174,0.6164304,5.057023477840022,0.05457464,0.019179286,0.024541462,-0.014459952,0.13425500318408012,0.0,0.0,0.0,0.0,0.0,2.5477011,20151023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.17612380904902,21.83130719231467]}"
1_1_1_1_00000000000000000092_0_0,66.10741,18,313,0.48528445190973496,0.40163329252182955,0.3776711116194152,0.36590649493875305,1.6065331700873182,1,33.59000000000003,33.59000000000003,33.59000000000003,33.59000000000003,33.59000000000003,0.7788981,0.7372195,0.7461862,0.6776076,2.9488780139137543,0.076018296,0.046126027,0.04671327,0.015059276,0.18450411222875118,7.9775357,0.44319642,0.0,0.0,7.977535724639893,5.4224296,20150414,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.0719421075004,24.5936266909822]}"
1_1_1_1_00000000000000000296_0_0,179.40147,2,188,0.4500912481155281,0.36599724659409694,0.36599724659409694,0.28190324507266573,0.7319944931881939,1,26.710000000000036,26.460000000000036,26.460000000000036,26.210000000000036,52.92000000000007,0.733592,0.64774835,0.64774835,0.5619048,1.2954967437993625,0.00203666,-0.005878856,-0.005878856,-0.013794372,-0.011757711879909039,0.0,0.0,0.0,0.0,0.0,6.0069146,20150414,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.69589818100428,23.012591790931843]}"
1_1_1_1_00000000000000000319_0_0,4.487916,2,52,0.3832941601880311,0.3832941601880311,0.3832941601880311,0.3832941601880311,0.3832941601880311,1,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0.6366366,0.6366366,0.6366366,0.6366366,0.6366366366366367,-0.0060186028,-0.0060186028,-0.0060186028,-0.0060186028,-0.006018602754920721,0.0,0.0,0.0,0.0,0.0,3.1947408,20150414,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.17038373979436,22.091818624709333]}"
1_1_1_1_000000000000000001f1_0_0,243.2578,7,269,0.520608075396185,0.5110079070563699,0.5097404957476194,0.5026751500253055,1.5330237211691098,1,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0.7744361,0.7291694,0.7387411,0.6743311,2.187508305308233,0.05689169,0.040337052,0.040394858,0.023724608,0.1210111565887928,0.0,0.0,0.0,0.0,0.0,2.8318377,20150928,"{""geodesic"":false,""type"":""Point"",""coordinates"":[115.20668940011834,23.63242933697431]}"
